timestamp_iso,timestamp_epoch_s,pose_x [m],pose_y [m],pose_z [m],state.speed [m/s],state.gear,state.rpm [rpm],Imu.angular_velocity.x_val [rad/s],Imu.angular_velocity.y_val [rad/s],Imu.angular_velocity.z_val [rad/s],Imu.linear_acceleration.x_val [m/s^2],Imu.linear_acceleration.y_val [m/s^2],Imu.linear_acceleration.z_val [m/s^2],Imu.orientation.w_val,Imu.orientation.x_val,Imu.orientation.y_val,Imu.orientation.z_val,Imu.time_stamp,Gps.gnss.eph,Gps.gnss.epv,Gps.gnss.fix_type,Gps.gnss.geo_point.altitude [m],Gps.gnss.geo_point.latitude [deg],Gps.gnss.geo_point.longitude [deg],Gps.gnss.time_utc,Gps.gnss.velocity.x_val,Gps.gnss.velocity.y_val,Gps.gnss.velocity.z_val,Gps.is_valid,Gps.time_stamp
2026-03-04T19:42:03.036+01:00,1772649723.037,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.772649722966389e+18,0.10074547678232193,0.10074549913406372,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649722758239.0,0.0,0.0,0.0,1.0,1.7726497227582397e+18
2026-03-04T19:42:03.186+01:00,1772649723.187,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.7726497231687785e+18,0.10060928016901016,0.10060930252075195,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649722939815.0,0.0,0.0,0.0,1.0,1.7726497229398157e+18
2026-03-04T19:42:03.390+01:00,1772649723.39,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.7726497233734774e+18,0.10048198699951172,0.10048200190067291,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649723150726.0,0.0,0.0,0.0,1.0,1.7726497231507264e+18
2026-03-04T19:42:03.601+01:00,1772649723.602,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.772649723577802e+18,0.10037754476070404,0.10037755966186523,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649723370490.0,0.0,0.0,0.0,1.0,1.7726497233704906e+18
2026-03-04T19:42:03.811+01:00,1772649723.812,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.772649723780176e+18,0.10030706971883774,0.10030708461999893,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649723556522.0,0.0,0.0,0.0,1.0,1.7726497235565222e+18
2026-03-04T19:42:04.019+01:00,1772649724.02,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.772649723980604e+18,0.10024191439151764,0.10024192929267883,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649723771074.0,0.0,0.0,0.0,1.0,1.7726497237710748e+18
2026-03-04T19:42:04.214+01:00,1772649724.214,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.7726497241827773e+18,0.10019364953041077,0.10019366443157196,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649723971511.0,0.0,0.0,0.0,1.0,1.772649723971512e+18
2026-03-04T19:42:04.411+01:00,1772649724.412,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.7726497243859794e+18,0.10015790909528732,0.10015792399644852,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649724155083.0,0.0,0.0,0.0,1.0,1.7726497241550838e+18
2026-03-04T19:42:04.616+01:00,1772649724.616,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.7726497245888573e+18,0.10012725740671158,0.10012725740671158,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649724349382.0,0.0,0.0,0.0,1.0,1.772649724349383e+18
2026-03-04T19:42:04.872+01:00,1772649724.873,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.7726497248656282e+18,0.10009121894836426,0.10009121894836426,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649724649583.0,0.0,0.0,0.0,1.0,1.7726497246495836e+18
2026-03-04T19:42:05.075+01:00,1772649725.075,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.7726497250528008e+18,0.1000789999961853,0.1000789999961853,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649724779137.0,0.0,0.0,0.0,1.0,1.7726497247791378e+18
2026-03-04T19:42:05.256+01:00,1772649725.256,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,3.945624121115543e-05,-2.6525974590185797e-06,1.6127625031003845e-06,-1.6881735120932717e-08,-2.3792230763319822e-07,-9.718459129333496,1.0,5.015248234485625e-07,-1.2503534208008205e-07,2.485121797235479e-07,1.772649725252054e+18,0.10006296634674072,0.10006296634674072,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649724983699.0,0.0,0.0,0.0,1.0,1.7726497249836995e+18
2026-03-04T19:42:05.457+01:00,1772649725.458,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,-1.6607596990070306e-05,-9.135550499195233e-06,6.819402642577188e-07,-1.7084005321521545e-09,3.1047737714118284e-09,-9.894326210021973,1.0,2.4439088974759215e-07,-2.224172988007922e-07,3.585010119877552e-07,1.7726497254525847e+18,0.10004709661006927,0.10004709661006927,3.0,51.24284744262695,43.610827847655955,3.8768662532309603,1772649725245141.0,-2.553269666805136e-07,4.3961779283563374e-07,-0.44592905044555664,1.0,1.7726497252451415e+18
2026-03-04T19:42:05.660+01:00,1772649725.66,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,-8.332959851031774e-07,2.2368810732587008e-06,2.6606119263306027e-07,4.440609269185103e-10,1.6542990588508388e-10,-9.87840747833252,1.0,-1.9915789550850604e-07,-4.461833214008948e-08,4.0454276017953816e-07,1.7726497256569398e+18,0.10003742575645447,0.10003742575645447,3.0,51.334083557128906,43.610827847655735,3.8768662532334703,1772649725452358.0,1.6689082826815138e-07,2.6701636670622975e-06,-0.4551466703414917,1.0,1.7726497254523581e+18
2026-03-04T19:42:05.873+01:00,1772649725.873,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,-4.640627082608262e-08,-1.2804179050363018e-07,8.681034557866951e-08,-5.022388727127236e-09,7.623797149136635e-10,-9.839797019958496,1.0,-1.8585342331789434e-07,2.7839327287892957e-08,4.227229055686621e-07,1.772649725870735e+18,0.100029855966568,0.100029855966568,3.0,51.426658630371094,43.61082784765647,3.876866253240173,1772649725656614.0,9.165045753434242e-07,2.489698090357706e-06,-0.46375223994255066,1.0,1.7726497256566141e+18
2026-03-04T19:42:06.057+01:00,1772649726.058,-3.828921398962848e-05,0.0002013703779084608,0.6468987464904785,0.0,0,20.000001907348633,-6.45904307816636e-08,2.1529024252231466e-07,5.8845053274581005e-08,6.6598535575224105e-09,1.7415503483775296e-09,-9.830459594726562,1.0,-1.918760261787611e-07,4.273982412428268e-08,4.2762908947224787e-07,1.772649726006335e+18,0.10002585500478745,0.10002585500478745,3.0,51.5118522644043,43.61082784765798,3.8768662532454905,1772649725785751.0,9.536040010971192e-07,1.989117208722746e-06,-0.4683634340763092,1.0,1.7726497257857518e+18
