timestamp_iso,timestamp_epoch_s,pose_x [m],pose_y [m],pose_z [m],state.speed [m/s],state.landed_state,Imu.angular_velocity.x_val [rad/s],Imu.angular_velocity.y_val [rad/s],Imu.angular_velocity.z_val [rad/s],Imu.linear_acceleration.x_val [m/s^2],Imu.linear_acceleration.y_val [m/s^2],Imu.linear_acceleration.z_val [m/s^2],Imu.orientation.w_val,Imu.orientation.x_val,Imu.orientation.y_val,Imu.orientation.z_val,Imu.time_stamp,Gps.gnss.eph,Gps.gnss.epv,Gps.gnss.fix_type,Gps.gnss.geo_point.altitude [m],Gps.gnss.geo_point.latitude [deg],Gps.gnss.geo_point.longitude [deg],Gps.gnss.time_utc,Gps.gnss.velocity.x_val,Gps.gnss.velocity.y_val,Gps.gnss.velocity.z_val,Gps.is_valid,Gps.time_stamp,Barometer.altitude [m],Barometer.pressure [Pa],Barometer.qnh [Pa],Barometer.time_stamp,Magnetometer.magnetic_field_body.x_val [T],Magnetometer.magnetic_field_body.y_val [T],Magnetometer.magnetic_field_body.z_val [T],Magnetometer.time_stamp [T],Lidar1.point_count [count],Lidar1.pose.orientation.w_val,Lidar1.pose.orientation.x_val,Lidar1.pose.orientation.y_val,Lidar1.pose.orientation.z_val,Lidar1.pose.position.x_val,Lidar1.pose.position.y_val,Lidar1.pose.position.z_val,Lidar1.time_stamp
2026-03-04T19:42:03.016+01:00,1772649723.017,6.41007318336051e-07,1.1449255055140384e-07,6.697817802429199,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.772649722966389e+18,0.10074547678232193,0.10074549913406372,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649722758239.0,0.0,0.0,0.0,1.0,1.7726497227582397e+18,50.98079299926758,100713.796875,1013.25,1.7726497229603953e+18,0.3042338788509369,0.012967025861144066,0.16712553799152374,1.772649722960446e+18,8192.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,1.772649722715971e+18
2026-03-04T19:42:03.180+01:00,1772649723.18,6.41007318336051e-07,1.1449255055140384e-07,6.697817802429199,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.7726497231660055e+18,0.10060928016901016,0.10060930252075195,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649722939815.0,0.0,0.0,0.0,1.0,1.7726497229398157e+18,51.23432159423828,100710.765625,1013.25,1.772649723150717e+18,0.2994566857814789,0.018416469916701317,0.1762503832578659,1.7726497231507348e+18,8192.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,1.7726497230403487e+18
2026-03-04T19:42:03.382+01:00,1772649723.383,6.41007318336051e-07,1.1449255055140384e-07,6.697817802429199,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.7726497233676252e+18,0.10049337893724442,0.10049339383840561,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649723129705.0,0.0,0.0,0.0,1.0,1.7726497231297057e+18,51.223758697509766,100710.890625,1013.25,1.7726497233704806e+18,0.2976374924182892,0.010667100548744202,0.1755654364824295,1.7726497233705034e+18,8192.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,1.7726497232409037e+18
2026-03-04T19:42:03.590+01:00,1772649723.59,6.41007318336051e-07,1.1449255055140384e-07,6.697817802429199,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.7726497235686065e+18,0.10038646310567856,0.10038648545742035,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649723349456.0,0.0,0.0,0.0,1.0,1.772649723349457e+18,51.218475341796875,100710.953125,1013.25,1.7726497235565133e+18,0.2956848442554474,0.012560542672872543,0.1810949146747589,1.7726497235565325e+18,8192.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,1.772649723442249e+18
2026-03-04T19:42:03.798+01:00,1772649723.798,6.41007318336051e-07,1.1449255055140384e-07,6.697817802429199,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.772649723780176e+18,0.10030706971883774,0.10030708461999893,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649723556522.0,0.0,0.0,0.0,1.0,1.7726497235565222e+18,51.61461639404297,100706.2265625,1013.25,1.772649723771068e+18,0.30368441343307495,0.011254450306296349,0.178143709897995,1.7726497237710874e+18,8192.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,1.7726497236538447e+18
2026-03-04T19:42:04.005+01:00,1772649724.005,6.41007318336051e-07,1.1449255055140384e-07,6.697817802429199,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.772649723980604e+18,0.10024191439151764,0.10024192929267883,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649723771074.0,0.0,0.0,0.0,1.0,1.7726497237710748e+18,51.00984191894531,100713.46875,1013.25,1.7726497239715028e+18,0.3023780584335327,0.015481708571314812,0.17644751071929932,1.772649723971525e+18,8192.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,1.7726497238578378e+18
2026-03-04T19:42:04.190+01:00,1772649724.191,6.41007318336051e-07,1.1449255055140384e-07,6.697817802429199,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.772649724174677e+18,0.10019364953041077,0.10019366443157196,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649723971511.0,0.0,0.0,0.0,1.0,1.772649723971512e+18,51.247528076171875,100710.625,1013.25,1.7726497241766776e+18,0.2980669140815735,0.011733394116163254,0.1720915585756302,1.772649724176733e+18,8192.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,1.7726497241130176e+18
2026-03-04T19:42:04.404+01:00,1772649724.405,6.41007318336051e-07,1.1449255055140384e-07,6.697817802429199,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.7726497243770388e+18,0.10015790909528732,0.10015792399644852,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649724155083.0,0.0,0.0,0.0,1.0,1.7726497241550838e+18,51.242244720458984,100710.6875,1013.25,1.7726497243709048e+18,0.29049479961395264,0.010756476782262325,0.1727742701768875,1.7726497243709222e+18,8192.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,1.7726497243274934e+18
2026-03-04T19:42:04.607+01:00,1772649724.607,6.41007318336051e-07,1.1449255055140384e-07,6.697817802429199,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.7726497245794547e+18,0.10012725740671158,0.10012725740671158,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649724349382.0,0.0,0.0,0.0,1.0,1.772649724349383e+18,51.33995819091797,100709.5,1013.25,1.7726497245701998e+18,0.29667702317237854,0.008816010318696499,0.1768302023410797,1.7726497245702203e+18,8192.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,1.7726497245272195e+18
2026-03-04T19:42:04.838+01:00,1772649724.838,6.41007318336051e-07,1.1449255055140384e-07,6.697817802429199,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.806650161743164,0.9999999403953552,0.0,0.0,2.008494703886754e-07,1.7726497247911268e+18,0.10009962320327759,0.10009962320327759,3.0,51.202274322509766,43.61082784765599,3.8768662532309563,1772649724570208.0,0.0,0.0,0.0,1.0,1.772649724570208e+18,51.2528076171875,100710.5625,1013.25,1.77264972477913e+18,0.28964564204216003,0.0039278604090213776,0.17330224812030792,1.7726497247791526e+18,8192.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,1.7726497247291863e+18
